       Epoch  Generator Loss  Discriminator Loss
539      539       -0.157845           -0.143208
540      540       -0.221400           -0.057036
541      541       -0.178960           -0.065666
542      542       -0.314980           -0.076412
543      543       -0.297485           -0.075430
544      544       -0.192856           -0.007992
545      545       -0.011826            0.037443
546      546       -0.264000            0.109717
547      547       -0.150667            0.022587
548      548       -0.278127           -0.121493
549      549       -0.293454            0.032002
550      550       -0.167229           -0.050803
551      551       -0.126411           -0.068598
552      552       -0.160799           -0.062578
553      553       -0.217702           -0.079119
554      554       -0.152715            0.000552
555      555       -0.349393            0.035643
556      556       -0.242365           -0.035903
557      557       -0.325772           -0.126300
558      558       -0.305119           -0.040797
559      559       -0.159760            0.012126
560      560       -0.103166            0.068281
561      561       -0.185467           -0.057011
562      562       -0.053556           -0.064106
563      563       -0.216609           -0.228244
564      564       -0.331624           -0.161586
565      565       -0.170381           -0.062349
566      566       -0.354479           -0.170686
567      567       -0.198077           -0.046431
568      568       -0.151271           -0.104693
569      569       -0.177423            0.087188
570      570       -0.314609            0.001947
571      571       -0.265147           -0.009532
572      572       -0.216954            0.037356
573      573       -0.154387           -0.097130
574      574       -0.230510            0.098141
575      575       -0.204998           -0.103831
576      576       -0.282485           -0.013731
577      577       -0.233850           -0.105353
578      578       -0.086999           -0.048864
579      579       -0.170157           -0.042542
580      580       -0.274806           -0.034618
581      581       -0.356247           -0.045158
582      582       -0.327801           -0.103565
583      583       -0.075625           -0.185034
584      584       -0.091852           -0.101377
585      585       -0.038310           -0.055038
586      586       -0.285315            0.080327
587      587       -0.261460           -0.207522
588      588       -0.348623           -0.016219
589      589       -0.290372           -0.140563
590      590       -0.392988           -0.052976
591      591       -0.274745            0.008866
592      592       -0.309001           -0.029541
593      593       -0.037108           -0.250957
594      594       -0.058130            0.030102
595      595       -0.228019            0.005841
596      596       -0.186448           -0.069179
597      597       -0.279692           -0.093467
598      598       -0.321195           -0.185618
599      599       -0.247446           -0.078165
600      600       -0.255156           -0.141481
601      601       -0.065272           -0.055575
602      602       -0.125240            0.029138
603      603       -0.215600           -0.235539
604      604       -0.371615           -0.111161
605      605       -0.389847           -0.043840
606      606       -0.280476           -0.071208
607      607       -0.227305            0.036097
608      608       -0.158735           -0.025992
609      609       -0.021753           -0.236129
610      610       -0.089143           -0.015161
611      611       -0.174939           -0.043496
612      612       -0.480374           -0.128342
613      613       -0.377263            0.103245
614      614       -0.195042            0.006459
615      615       -0.050125            0.072656
616      616       -0.089610           -0.059887
617      617       -0.371493            0.050431
618      618       -0.318375           -0.137812
619      619       -0.411545            0.022069
620      620       -0.332707           -0.022020
621      621        0.017444           -0.119987
622      622       -0.074970            0.041301
623      623       -0.286284           -0.163505
624      624       -0.285732           -0.170296
625      625       -0.346876            0.052217
626      626       -0.452076            0.105710
627      627       -0.195979           -0.045330
628      628       -0.236303           -0.052576
629      629       -0.085206            0.062766
630      630        0.006164           -0.041698
631      631       -0.171370           -0.006511
632      632       -0.197701           -0.000240
633      633       -0.273346            0.030877
634      634       -0.279064           -0.086010
635      635       -0.156173           -0.109811
636      636       -0.107634           -0.026172
637      637       -0.229213           -0.157275
638      638       -0.201201           -0.016195
639      639       -0.191315           -0.126121
640      640       -0.139643            0.072888
641      641       -0.294809            0.092220
642      642       -0.371221           -0.049080
643      643       -0.308184           -0.059627
644      644       -0.250464            0.080854
645      645       -0.204153           -0.079349
646      646       -0.038977            0.004450
647      647       -0.196600           -0.112803
648      648       -0.154706            0.081801
649      649       -0.174312            0.040172
650      650       -0.234197           -0.198355
651      651       -0.368882           -0.092444
652      652       -0.371627           -0.030190
653      653       -0.277658           -0.127042
654      654       -0.215058           -0.006771
655      655       -0.131469           -0.101754
656      656       -0.273984           -0.075596
657      657        0.039999           -0.065555
658      658       -0.089411            0.039685
659      659       -0.186916           -0.096711
660      660       -0.346798            0.009148
661      661       -0.307936            0.140354
662      662       -0.206780           -0.040156
663      663       -0.099198           -0.032092
664      664       -0.089338           -0.281673
665      665        0.002457            0.055312
666      666       -0.135029           -0.032010
667      667       -0.108789           -0.184322
668      668       -0.438346            0.011998
669      669       -0.253936            0.022004
670      670       -0.345749            0.006044
671      671       -0.104625           -0.029660
672      672       -0.203375           -0.124651
673      673       -0.237789           -0.206401
674      674       -0.260574           -0.078123
675      675       -0.147699            0.028321
676      676       -0.082261           -0.061860
677      677       -0.355381           -0.139159
678      678       -0.246932           -0.155359
679      679       -0.358495           -0.042897
680      680       -0.254524           -0.229481
681      681       -0.194198           -0.111113
682      682       -0.237549           -0.058280
683      683       -0.138058           -0.122165
684      684       -0.273375           -0.074145
685      685       -0.364270           -0.058537
686      686       -0.154194           -0.234750
687      687       -0.152001           -0.111552
688      688       -0.070834           -0.263812
689      689       -0.225356            0.001310
690      690       -0.292478           -0.040423
691      691       -0.215793           -0.131909
692      692       -0.226692           -0.253614
693      693       -0.201788           -0.017368
694      694       -0.097861           -0.055444
695      695       -0.042005            0.017061
696      696       -0.227019           -0.034198
697      697       -0.238713           -0.003067
698      698       -0.212740           -0.166744
699      699       -0.350750           -0.065755
700      700       -0.225749           -0.217657
701      701       -0.272675           -0.009991
702      702       -0.107468           -0.051342
703      703       -0.059476           -0.142470
704      704       -0.103275           -0.149623
705      705       -0.271164           -0.229292
706      706       -0.041007           -0.043318
707      707       -0.237825            0.051587
708      708       -0.058885           -0.024085
709      709       -0.105306           -0.071577
710      710        0.003249           -0.107578
711      711       -0.372535           -0.051153
712      712       -0.556468           -0.007219
713      713       -0.396742           -0.014152
714      714       -0.261135           -0.019543
715      715       -0.128431           -0.005912
716      716       -0.047827           -0.208479
717      717       -0.053410           -0.094521
718      718       -0.095575           -0.112269
719      719       -0.255877           -0.168189
720      720       -0.343038           -0.202312
721      721       -0.279772           -0.106801
722      722       -0.160779           -0.086295
723      723       -0.028149           -0.167228
724      724       -0.097465            0.021382
725      725       -0.242133           -0.117452
726      726       -0.155037            0.044710
727      727       -0.119242           -0.174850
728      728       -0.173719           -0.239516
729      729       -0.010986           -0.095170
730      730       -0.170944           -0.010175
731      731       -0.172580            0.017855
732      732       -0.163903            0.042274
733      733       -0.281647           -0.151569
734      734       -0.160591           -0.044562
